,ID,Nome,Empreendedor,CPF_CNPJ,UF,Município,Latitude,Longitude,Posicionamento,Categoria de Risco - CRI,Dano Potencial Associado - DPA,Necessita de PAEBM,Inserido na PNSB,Nível de Emergência,Status da DCE Atual,Status da DCO Atual,Tipo de Barragem de Mineração,A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório,Quantidade Diques Internos,Quantidade Diques Selantes,Cluster
0,9692,MASSANGANA 01,COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN,26021163000144,RO,ARIQUEMES,-09°56'46.053'',-63°19'48.767'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
1,9148,Igarapé Mutum,COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA,09259736000153,RO,ARIQUEMES,-09°45'55.465'',-63°31'12.111'',Sul do Equador,Média,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
2,9152,Rio Santa Cruz,COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA,09259736000153,RO,ARIQUEMES,-09°45'57.100'',-63°34'06.900'',Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
3,9277,Belíssima,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-09°47'34.047'',-63°33'34.869'',Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Cava com Barramento Construído,Não,0.0,0.0,1
4,9149,Jacaré Inferior,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-09°47'16.100'',-63°34'30.600'',Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
5,9151,Jacaré Superior,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-09°49'01.200'',-63°33'11.500'',Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
6,9150,Jacaré Medio,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-09°47'43.800'',-63°33'55.000'',Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0
7,8832,BARRAGEM TARILÂNDIA 01,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,JARU,-10°49'19.200'',-62°50'02.200'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
8,9540,Barragem Oriente01,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,MACHADINHO D'OESTE,-09°34'60.000'',-62°23'46.000'',Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1
9,8688,RIO BRANCO,Minerais & Metais Comércio e Indústria Ltda Filial: MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA,02587633000769,RO,RIO CRESPO,-09°46'14.500'',-62°44'26.300'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
10,9110,Reservatório 01,WHITE SOLDER METALURGIA E MINERACAO LTDA Filial: WHITE SOLDER METALURGIA E MINERACAO LTDA,04107120000224,RO,RIO CRESPO,-09°37'20.200'',-63°03'39.100'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
11,9649,BRASE01,"BRASE - BRASIL EXTRACAO, COMERCIO E INDUSTRIA DE ESTANHO EIRELI",23919617000100,RO,RIO CRESPO,-09°35'10.710'',-62°51'51.450'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1
12,9686,SOL NASCENTE,COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN,26021163000144,RO,RIO CRESPO,-09°37'10.790'',-63°03'58.220'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1
13,9080,RESERVATÓRIO 01,NORTE SUL TERRAPLENAGEM E COMERCIO LTDA,17133940000151,RO,VILHENA,-12°55'57.300'',-60°20'58.300'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
14,9083,RESERVATÓRIO 01,FARIAS & RODRIGUES LTDA,11239511000187,RO,VILHENA,-12°57'09.130'',-60°24'29.700'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
15,9111,RESERVATÓRIO 01,PORTO COMERCIO DE AREIA LTDA,08491915000159,RO,VILHENA,-12°57'35.100'',-60°17'15.500'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
16,9155,RESERVATÓRIO 02,MULLER & CIA LTDA,04800249000132,RO,VILHENA,-12°48'17.470'',-60°21'52.000'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
17,9153,RESERVATÓRIO 01,MULLER & CIA LTDA,04800249000132,RO,VILHENA,-12°53'50.800'',-60°25'21.300'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
18,8827,BARRAGEM 01,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,CAMPO NOVO DE RONDÔNIA,-10°30'18.000'',-63°37'14.100'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
19,8828,BARRAGEM 02,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,CAMPO NOVO DE RONDÔNIA,-11°09'42.300'',-62°25'02.700'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
20,8831,BARRAGEM TABOQUINHA,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,CUJUBIM,-09°31'24.000'',-62°54'21.200'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
21,9172,Queimada ,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°25'25.900'',-63°02'52.400'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
22,9170,CA01,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°25'54.500'',-63°03'19.900'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
23,9171,CA02,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°25'53.900'',-63°03'19.900'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
24,9480,CA03,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°27'29.000'',-63°03'07.000'',Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
25,9481,CA04,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°26'13.950'',-63°03'28.000'',Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
26,9482,QUEIMADA02,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°27'51.000'',-63°04'28.000'',Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
27,9483,QUEIMADA03,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,ITAPUÃ DO OESTE,-09°27'41.000'',-63°04'32.000'',Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1
28,9029,Taboquinha 01 - Crente,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-09°11'55.300'',-63°04'30.500'',Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
29,9030,Taboquinha 02 - Serra Azul,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-09°12'15.700'',-63°05'04.400'',Sul do Equador,Baixa,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
30,9031,Taboquinha 03,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-09°12'19.954'',-63°05'01.035'',Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
31,9032,Taboquinha 04,ESTANHO DE RONDONIA S/A,00684808000135,RO,ITAPUÃ DO OESTE,-09°12'39.100'',-63°05'11.000'',Sul do Equador,Média,Média,Não,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0
32,8833,BARRAGEM 339,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,MINISTRO ANDREAZZA,-11°09'30.250'',-61°36'42.030'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
33,8834,BARRAGEM 341,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,MINISTRO ANDREAZZA,-11°09'42.850'',-61°36'50.800'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
34,8835,BARRAGEM URUPA 01,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,URUPÁ,-11°08'07.500'',-62°26'15.100'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
35,8675,42,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°43'24.700'',-60°11'48.200'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
36,8676,68-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°44'25.500'',-60°12'05.100'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
37,8677,69,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°44'35.500'',-60°12'05.100'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
38,8678,75-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°45'41.600'',-60°12'21.500'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
39,8673,30-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°42'25.600'',-60°11'33.100'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
40,8668,22,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°44'19.100'',-60°10'02.600'',Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3
41,8684,158 (A-1),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°44'16.900'',-60°04'44.100'',Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Sim,0.0,2.0,0
42,8685,161 (A-2),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°43'56.233'',-60°04'08.396'',Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0
43,8774,444 (A-3),MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°44'18.326'',-60°04'33.114'',Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0
44,8775,Pau D'Arco,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°45'23.673'',-60°05'16.904'',Sul do Equador,Baixa,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0
45,8679,81-1,MINERACAO TABOCA S A,34019992000110,AM,PRESIDENTE FIGUEIREDO,-00°47'07.300'',-60°11'36.280'',Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Não Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0
