,Categoria de Risco - CRI,Dano Potencial Associado - DPA,Necessita de PAEBM,Inserido na PNSB,Nível de Emergência,Situação operacional da Back Up Dam,Vida útil prevista da Back Up Dam (Anos),Posicionamento (Back Up Dam),Altura Máxima do projeto da Back Up Dam (m),Teor (%) do minério principal inserido no rejeito,Tipo de Barragem de Mineração_Barragem/Barramento/Dique,Tipo de Barragem de Mineração_Cava com Barramento Construído,Tipo de Barragem de Mineração_Empilhamento drenado construído hidraulicamente e suscetível à liquefação,Cluster
0,3,3,1,1,1,0,0.0,1,0.0,0.05,1,0,0,2
1,2,1,0,0,0,0,0.0,1,0.0,0.04,1,0,0,0
2,3,2,0,1,1,0,0.0,1,0.0,0.05,1,0,0,0
3,3,3,1,1,1,0,0.0,1,0.0,0.04,1,0,0,2
4,3,3,1,1,1,0,0.0,1,0.0,0.05,1,0,0,2
5,3,2,0,1,1,0,0.0,1,0.0,0.02,0,1,0,3
6,2,3,1,1,0,0,0.0,1,0.0,0.02,1,0,0,2
7,2,1,0,0,0,0,0.0,1,0.0,2.0,1,0,0,0
8,1,1,0,0,0,0,0.0,1,0.0,10.0,0,1,0,3
9,2,1,0,0,0,0,0.0,1,0.0,10.0,1,0,0,0
10,2,1,0,0,0,0,0.0,1,0.0,0.04,0,1,0,3
11,2,1,0,0,0,0,0.0,1,0.0,0.01,1,0,0,0
12,2,1,0,0,0,0,0.0,1,0.0,1.0,0,1,0,3
13,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
14,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
15,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
16,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
17,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
18,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
19,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
20,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
21,2,2,0,1,0,0,0.0,1,0.0,0.01,1,0,0,0
22,2,2,0,1,0,0,0.0,1,0.0,0.01,1,0,0,0
23,2,1,0,0,0,0,0.0,1,0.0,10.0,1,0,0,0
24,1,1,0,0,0,0,0.0,1,0.0,5.0,1,0,0,0
25,1,2,0,1,0,0,0.0,1,0.0,0.01,1,0,0,0
26,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
27,1,1,0,0,0,0,0.0,1,0.0,5.0,1,0,0,0
28,2,1,0,0,0,0,0.0,1,0.0,10.0,1,0,0,0
29,1,1,0,0,0,0,0.0,1,0.0,0.0,0,1,0,3
30,2,2,0,1,0,0,0.0,1,0.0,0.01,1,0,0,0
31,1,1,0,0,0,0,0.0,1,0.0,5.0,1,0,0,0
32,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
33,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
34,2,1,0,0,0,0,0.0,1,0.0,2.0,1,0,0,0
35,2,1,0,0,0,0,0.0,1,0.0,0.01,1,0,0,0
36,2,1,0,0,0,0,0.0,1,0.0,0.11,1,0,0,0
37,1,3,1,1,0,0,0.0,1,0.0,0.01,1,0,0,2
38,2,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
39,2,1,0,0,0,0,0.0,1,0.0,0.01,1,0,0,0
40,1,3,1,1,0,0,0.0,1,0.0,0.01,1,0,0,2
41,1,3,1,1,0,0,0.0,1,0.0,0.11,1,0,0,2
42,1,3,1,1,0,0,0.0,1,0.0,0.01,1,0,0,2
43,1,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
44,2,1,0,0,0,0,0.0,1,0.0,0.01,1,0,0,0
45,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
46,3,3,1,1,1,0,0.0,1,0.0,0.11,1,0,0,2
47,2,1,0,0,0,0,0.0,1,0.0,0.11,1,0,0,0
48,3,2,0,1,1,0,0.0,1,0.0,0.01,1,0,0,0
49,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
50,1,1,0,0,0,0,0.0,1,0.0,15.0,1,0,0,0
51,1,3,1,1,0,0,0.0,1,0.0,15.0,1,0,0,2
52,2,1,0,0,0,0,0.0,1,0.0,15.0,1,0,0,0
53,1,3,1,1,0,0,0.0,1,0.0,98.0,1,0,0,2
54,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
55,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
56,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
57,1,3,1,1,0,0,0.0,1,0.0,98.0,1,0,0,2
58,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
59,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
60,1,3,1,1,0,0,0.0,1,0.0,98.0,1,0,0,2
61,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
62,1,3,1,1,0,0,0.0,1,0.0,8.0,1,0,0,2
63,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
64,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
65,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
66,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
67,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
68,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
69,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
70,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
71,1,3,1,1,0,0,0.0,1,0.0,0.06,1,0,0,2
72,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
73,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
74,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
75,1,2,0,1,0,0,0.0,1,0.0,0.08,1,0,0,0
76,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
77,1,1,0,0,0,0,0.0,1,0.0,0.1,1,0,0,0
78,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
79,2,1,0,0,0,0,0.0,1,0.0,0.1,1,0,0,0
80,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
84,2,1,0,1,0,0,0.0,1,0.0,0.05,1,0,0,0
85,1,1,0,1,0,0,0.0,1,0.0,2.0,1,0,0,0
86,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
87,2,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
88,1,1,0,1,0,0,0.0,1,0.0,0.01,1,0,0,0
89,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
90,2,2,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
91,3,1,0,1,1,0,0.0,1,0.0,0.0,1,0,0,0
92,3,2,0,1,1,0,0.0,1,0.0,0.01,1,0,0,0
93,3,2,0,1,1,0,0.0,1,0.0,0.01,1,0,0,0
94,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
95,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
96,1,2,0,1,0,0,0.0,1,0.0,9.24,0,1,0,3
97,1,2,0,1,0,0,0.0,1,0.0,15.0,0,1,0,3
98,1,2,0,1,0,0,0.0,1,0.0,9.24,1,0,0,0
99,1,1,0,0,0,0,0.0,1,0.0,9.24,0,1,0,3
100,1,2,0,1,0,0,0.0,1,0.0,9.24,0,1,0,3
101,1,2,0,1,0,0,0.0,1,0.0,9.24,0,1,0,3
102,1,2,0,1,0,0,0.0,1,0.0,9.24,1,0,0,0
103,1,1,0,0,0,0,0.0,1,0.0,15.0,0,1,0,3
104,1,2,0,1,0,0,0.0,1,0.0,9.24,1,0,0,0
105,1,3,1,1,0,0,0.0,1,0.0,0.48,1,0,0,2
106,3,3,1,1,1,0,0.0,1,0.0,19.65,1,0,0,2
107,1,3,1,1,4,0,0.0,1,0.0,19.65,1,0,0,2
108,1,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
109,1,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
110,1,2,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
111,1,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
112,3,2,0,1,1,0,0.0,1,0.0,19.65,1,0,0,0
113,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
114,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
115,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
116,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
117,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
118,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
119,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
120,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
121,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
122,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
123,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
124,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
125,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
126,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
127,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
128,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
129,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
130,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
131,2,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
132,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
133,1,2,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
134,2,2,0,1,0,0,0.0,1,0.0,27.0,1,0,0,0
135,2,3,1,1,0,0,0.0,1,0.0,100.0,1,0,0,2
136,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
137,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
138,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
139,2,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
140,1,2,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
141,2,3,1,1,0,0,0.0,1,0.0,100.0,1,0,0,2
142,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
143,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
144,1,2,0,1,0,0,0.0,1,0.0,100.0,1,0,0,2
145,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
146,1,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
147,1,3,1,1,0,0,0.0,1,0.0,18.14,1,0,0,2
148,1,2,0,1,0,0,0.0,1,0.0,18.14,1,0,0,0
149,1,1,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
150,1,1,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
151,1,2,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
152,0,0,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
153,1,2,0,1,0,0,0.0,1,0.0,0.0,1,0,0,0
154,1,3,1,1,0,0,0.0,1,0.0,23.5,1,0,0,2
155,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
156,1,3,1,1,0,0,0.0,1,0.0,0.0,1,0,0,2
157,1,1,0,0,0,0,0.0,1,0.0,0.0,1,0,0,0
