,Nome,Empreendedor,CPF_CNPJ,UF,Município,Latitude,Longitude,Posicionamento,Categoria de Risco - CRI,Dano Potencial Associado - DPA,Necessita de PAEBM,Inserido na PNSB,Nível de Emergência,Status da DCE Atual,Status da DCO Atual,Tipo de Barragem de Mineração,A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório,Quantidade Diques Internos,Quantidade Diques Selantes,Cluster,Altura Máxima do projeto da Back Up Dam (m),Vida útil prevista da Back Up Dam (Anos),Situação operacional da Back Up Dam,Teor (%) do minério principal inserido no rejeito
0,MASSANGANA 01,COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN,26021163000144,RO,ARIQUEMES,-9.946125833333333,-63.33021305555556,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.05
1,Igarapé Mutum,COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA,09259736000153,RO,ARIQUEMES,-9.765406944444445,-63.52003083333333,Sul do Equador,Média,Alta,Sim,Sim,Sem emergência,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.04
2,Rio Santa Cruz,COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA,09259736000153,RO,ARIQUEMES,-9.76586111111111,-63.568583333333336,Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.05
3,Belíssima,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-9.792790833333333,-63.55968583333333,Sul do Equador,Alta,Média,Não,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Cava com Barramento Construído,Não,0.0,0.0,1,0.0,0.0,0,0.04
4,Jacaré Inferior,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-9.787805555555556,-63.57516666666667,Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.05
5,Jacaré Superior,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-9.817,-63.55319444444444,Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Indefinido,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.02
6,Jacaré Medio,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,34726547000190,RO,ARIQUEMES,-9.7955,-63.56527777777777,Sul do Equador,Alta,Alta,Sim,Sim,Emergência Nivel 1,1º Campanha 2024 - Atestado,1º Campanha 2023 - Atestado,Barragem/Barramento/Dique,Não,0.0,0.0,0,0.0,0.0,0,0.02
7,BARRAGEM TARILÂNDIA 01,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,JARU,-10.822,-62.83394444444445,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,2.0
8,Barragem Oriente01,METALMIG MINERACAO INDUSTRIA E COMERCIO S/A,34456038000195,RO,MACHADINHO D'OESTE,-9.583333333333334,-62.39611111111111,Sul do Equador,Baixa,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1,0.0,0.0,0,10.0
9,RIO BRANCO,Minerais & Metais Comércio e Indústria Ltda Filial: MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA,02587633000769,RO,RIO CRESPO,-9.770694444444445,-62.74063888888889,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,10.0
10,Reservatório 01,WHITE SOLDER METALURGIA E MINERACAO LTDA Filial: WHITE SOLDER METALURGIA E MINERACAO LTDA,04107120000224,RO,RIO CRESPO,-9.622277777777779,-63.06086111111111,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.04
11,BRASE01,"BRASE - BRASIL EXTRACAO, COMERCIO E INDUSTRIA DE ESTANHO EIRELI",23919617000100,RO,RIO CRESPO,-9.586308333333333,-62.86429166666667,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1,0.0,0.0,0,0.01
12,SOL NASCENTE,COOPERATIVA DE PRODUTORES DE ESTANHO DO BRASIL COOPERTIN,26021163000144,RO,RIO CRESPO,-9.619663888888889,-63.06617222222222,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Cava com Barramento Construído,Não,0.0,0.0,1,0.0,0.0,0,1.0
13,RESERVATÓRIO 01,NORTE SUL TERRAPLENAGEM E COMERCIO LTDA,17133940000151,RO,VILHENA,-12.932583333333334,-60.34952777777778,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
14,RESERVATÓRIO 01,FARIAS & RODRIGUES LTDA,11239511000187,RO,VILHENA,-12.95253611111111,-60.408249999999995,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
15,RESERVATÓRIO 01,PORTO COMERCIO DE AREIA LTDA,08491915000159,RO,VILHENA,-12.95975,-60.287638888888885,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
16,RESERVATÓRIO 02,MULLER & CIA LTDA,04800249000132,RO,VILHENA,-12.804852777777779,-60.364444444444445,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
17,RESERVATÓRIO 01,MULLER & CIA LTDA,04800249000132,RO,VILHENA,-12.897444444444444,-60.42258333333333,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
18,BARRAGEM 01,COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA,22825491000142,RO,CAMPO NOVO DE RONDÔNIA,-10.505,-63.620583333333336,Sul do Equador,Média,Baixa,Não,Não,Sem emergência,-,-,Barragem/Barramento/Dique,Não,0.0,0.0,3,0.0,0.0,0,0.0
